298.15	36.822
303.15	36.840
308.15	36.874
313.15	36.922
318.15	36.983
323.15	37.056
328.15	37.139
333.15	37.230
338.15	37.330
343.15	37.436
348.15	37.549
353.15	37.667
358.15	37.790
363.15	37.917
368.15	38.048
373.15	38.182
378.15	38.319
383.15	38.458
388.15	38.600
393.15	38.743
398.15	38.888
403.15	39.035
408.15	39.183
413.15	39.332
418.15	39.482
423.15	39.633
428.15	39.785
433.15	39.937
438.15	40.090
443.15	40.243
448.15	40.397
453.15	40.551
458.15	40.705
463.15	40.860
468.15	41.015
473.15	41.170
478.15	41.325
483.15	41.480
488.15	41.635
493.15	41.791
498.15	41.946
503.15	42.101
508.15	42.257
513.15	42.412
518.15	42.567
523.15	42.723
528.15	42.878
533.15	43.033
538.15	43.188
543.15	43.343
548.15	43.498
553.15	43.653
558.15	43.808
563.15	43.963
568.15	44.118
573.15	44.272
